id,edad,precio,cantidad,categoria,genero,descuento,satisfaccion,comprado,fecha_compra,metodo_pago,ubicacion_tienda,tiempo_entrega,cliente_recurrente,valoracion_producto
749,22.0,481.57,4.0,Libros,Femenino,48.6,8.5,True,2023-01-06,Tarjeta de débito,Zaragoza,23.0,True,2.2
1034,71.0,169.57,1.0,Juguetes,Masculino,45.2,6.8,False,2022-11-20,Criptomoneda,Barcelona,6.0,False,3.9
385,78.0,339.87,5.0,Belleza,Prefiero no decir,23.6,8.5,True,2022-03-10,Tarjeta de crédito,Valencia,9.0,True,2.8
286,59.0,302.32,2.0,Mascotas,Prefiero no decir,0.8,6.5,True,2023-02-19,Tarjeta de débito,Barcelona,16.0,False,5.0
347,65.0,230.84,8.0,Mascotas,No binario,40.5,6.5,True,2022-01-06,Criptomoneda,Madrid,17.0,True,1.4
442,40.0,414.22,9.0,Belleza,No binario,15.7,7.5,False,2023-07-19,Tarjeta de débito,Málaga,18.0,True,3.7
334,34.0,158.14,76.0,Alimentos,Femenino,34.1,0.9,True,2022-05-28,Contra reembolso,,24.0,True,4.8
894,55.0,40.22,6.0,Belleza,Prefiero no decir,14.4,2.3,True,2023-04-11,Transferencia,Las Palmas,25.0,True,4.8
340,40.0,30.31,97.0,Alimentos,Masculino,13.4,8.6,True,2023-01-18,Tarjeta de crédito,Palma,1.0,False,4.4
824,83.0,85.54,4.0,Alimentos,No binario,15.2,4.1,True,2023-09-16,Transferencia,Bilbao,2.0,True,2.2
587,29.0,489.6,9.0,Alimentos,No binario,47.4,3.0,True,2022-05-02,Contra reembolso,Murcia,9.0,True,3.2
509,37.0,490.47,6.0,Belleza,Prefiero no decir,,4.9,True,2023-11-07,PayPal,Málaga,6.0,False,2.4
67,41.0,233.84,4.0,Electrónica,No binario,18.3,5.7,True,2024-02-11,Transferencia,Zaragoza,26.0,True,3.1
1038,53.0,322.66,2.0,Libros,No binario,32.4,4.8,True,2023-11-22,Transferencia,Valencia,13.0,False,1.4
513,66.0,288.9,5.0,Deportes,Femenino,41.7,6.1,True,2023-05-11,Transferencia,Palma,14.0,False,1.6
533,58.0,153.2,2.0,Juguetes,Prefiero no decir,15.0,8.1,False,2022-02-17,Tarjeta de crédito,Las Palmas,4.0,False,1.3
1023,57.0,156.85,1.0,Mascotas,Masculino,26.5,1.1,False,2023-05-30,Contra reembolso,Las Palmas,3.0,,2.2
393,60.0,458.73,8.0,Mascotas,Femenino,45.0,7.0,True,2023-01-01,Contra reembolso,,7.0,True,2.9
677,81.0,72.62,10.0,Alimentos,Prefiero no decir,14.7,8.9,True,2023-05-03,Criptomoneda,Murcia,11.0,,1.1
59,51.0,274.05,,Libros,Masculino,26.7,0.1,False,2023-12-01,Tarjeta de débito,Zaragoza,19.0,False,3.7
506,38.0,248.7,7.0,Deportes,Masculino,34.5,,True,2022-07-03,,Madrid,8.0,False,3.6
517,18.0,427.71,7.0,Deportes,Masculino,31.7,8.5,True,2024-02-19,PayPal,Murcia,12.0,False,2.1
751,27.0,186.01,8.0,Alimentos,,3.6,1.8,True,2022-06-08,PayPal,Barcelona,3.0,False,
1104,56.0,420.7,6.0,Libros,Prefiero no decir,33.6,8.7,True,2023-07-30,Tarjeta de crédito,Sevilla,22.0,True,
697,69.0,66.56,6.0,Belleza,Femenino,8.5,3.0,True,,Contra reembolso,Zaragoza,5.0,True,2.0
102,31.0,482.42,6.0,,No binario,,4.6,True,2024-02-01,Transferencia,Valencia,15.0,True,2.1
978,114.0,283.23,7.0,Libros,Femenino,,6.5,True,2022-09-05,Tarjeta de débito,Palma,2.0,True,4.0
956,84.0,55.75,10.0,Ropa,Masculino,19.4,3.8,True,2023-11-21,Efectivo,Valencia,21.0,True,3.4
489,56.0,66.79,7.0,Jardín,Masculino,12.8,3.9,True,2023-06-07,Criptomoneda,Zaragoza,15.0,False,3.0
658,53.0,252.7,9.0,Electrónica,Femenino,11.0,3.4,False,2023-09-03,Criptomoneda,Barcelona,28.0,False,
948,51.0,,5.0,Electrónica,Masculino,37.4,4.5,True,2023-07-03,PayPal,Bilbao,,True,1.6
312,75.0,288.16,7.0,Deportes,Masculino,,0.2,,2023-09-14,Transferencia,Madrid,10.0,False,2.1
426,79.0,482.19,10.0,Ropa,Prefiero no decir,1.1,9.7,True,2024-01-28,Tarjeta de débito,Murcia,10.0,False,4.4
443,33.0,492.09,28.0,Electrónica,Femenino,4.2,7.8,False,2022-04-22,Tarjeta de crédito,Zaragoza,11.0,True,3.4
937,55.0,404.31,7.0,Mascotas,No binario,33.3,4.0,True,2023-10-11,PayPal,Palma,22.0,False,1.4
738,18.0,117.98,4.0,Belleza,Masculino,33.6,4.6,True,2023-06-20,Criptomoneda,Málaga,15.0,False,1.4
240,44.0,153.46,7.0,Hogar,No binario,24.7,9.7,True,2023-07-01,Criptomoneda,Murcia,26.0,True,1.1
794,68.0,397.61,,Mascotas,Masculino,14.0,6.0,True,2022-04-13,Tarjeta de crédito,Barcelona,26.0,True,2.1
825,27.0,284.72,,Libros,Femenino,1.2,3.2,True,2022-02-08,PayPal,Sevilla,26.0,True,3.7
253,34.0,293.49,1.0,Jardín,Femenino,29.4,1.0,True,2023-07-05,Efectivo,Las Palmas,27.0,True,4.1
912,45.0,383.95,7.0,Libros,Femenino,43.1,3.0,True,2023-07-05,,Sevilla,22.0,True,1.1
500,61.0,190.79,2.0,Juguetes,No binario,35.9,2.2,True,2022-06-19,PayPal,Sevilla,20.0,False,5.0
957,76.0,259.36,6.0,Alimentos,Prefiero no decir,16.2,7.9,True,2024-02-06,PayPal,,13.0,False,1.2
490,18.0,398.13,3.0,Libros,Prefiero no decir,40.0,3.4,True,2022-04-03,PayPal,Barcelona,28.0,,1.2
640,78.0,196.89,10.0,Mascotas,No binario,31.5,1.4,True,2024-04-30,Tarjeta de crédito,Murcia,6.0,True,2.2
74,82.0,232.32,4.0,Belleza,Prefiero no decir,20.4,3.1,False,2023-09-23,PayPal,Murcia,23.0,False,1.6
295,53.0,74.31,7.0,Mascotas,No binario,23.0,5.2,False,2023-10-19,Tarjeta de crédito,Barcelona,24.0,False,4.6
567,20.0,263.68,7.0,Belleza,Prefiero no decir,32.8,3.6,True,,Transferencia,Las Palmas,11.0,False,2.1
1098,24.0,12.62,,Deportes,Prefiero no decir,42.5,6.6,True,2024-01-08,Transferencia,Las Palmas,7.0,True,2.6
1083,25.0,159.89,2.0,Jardín,,18.8,6.8,True,2022-07-20,Contra reembolso,Bilbao,23.0,False,3.6
708,79.0,159.37,7.0,Mascotas,Masculino,25.1,2.9,True,2024-03-19,Efectivo,Barcelona,26.0,True,3.4
314,66.0,150.28,6.0,Alimentos,Prefiero no decir,4.6,7.2,True,2022-10-16,Efectivo,,12.0,True,2.1
1152,,460.78,3.0,,Femenino,30.8,7.6,False,2022-03-22,Criptomoneda,Las Palmas,24.0,False,3.4
160,19.0,414.98,10.0,Juguetes,Prefiero no decir,16.0,1.4,True,2024-03-19,Tarjeta de crédito,Bilbao,25.0,True,1.4
359,46.0,298.86,5.0,Alimentos,,48.6,8.4,True,2022-12-19,Contra reembolso,Valencia,19.0,True,2.5
641,39.0,318.19,7.0,Libros,Masculino,37.4,7.0,True,2023-02-25,PayPal,Murcia,,True,2.4
1128,116.0,11.8,2.0,Hogar,,34.5,4.1,True,2022-12-19,Criptomoneda,Bilbao,27.0,True,2.2
1138,79.0,0.37,2.0,Libros,Femenino,,7.3,True,2023-10-28,Efectivo,Madrid,1.0,False,1.0
477,36.0,200.59,8.0,Libros,Prefiero no decir,7.4,8.6,True,2024-03-04,PayPal,Valencia,8.0,False,3.1
1049,72.0,38.41,5.0,Alimentos,No binario,27.5,,False,2022-09-27,Transferencia,,30.0,True,3.2
323,22.0,249.31,6.0,Litros,Femenino,47.8,6.9,True,2022-06-10,Tarjeta de débito,Sevilla,16.0,False,3.7
1102,65.0,,5.0,Belleza,Masculino,17.7,1.3,True,2022-11-04,Efectivo,Zaragoza,8.0,True,3.6
190,40.0,258.76,77.0,Libros,Femenino,30.2,0.8,True,2024-02-10,Tarjeta de crédito,Sevilla,11.0,False,4.4
595,31.0,295.0,5.0,Ropa,Masculino,11.0,1.7,False,2023-05-09,,Madrid,6.0,,
352,80.0,40.15,9.0,Libros,Femenino,3.5,0.6,True,2023-07-15,Tarjeta de débito,Zaragoza,21.0,,4.3
524,41.0,257.66,,Juguutes,Femenino,22.0,3.0,True,2022-02-13,Criptomoneda,Murcia,17.0,False,3.6
814,50.0,480.27,2.0,Juguetes,No binario,39.9,5.7,True,2022-05-29,Transferencia,Sevilla,27.0,False,1.2
819,74.0,241.07,7.0,Juguetes,Prefiero no decir,24.1,4.8,True,2022-03-07,Criptomoneda,Valencia,8.0,True,2.3
980,46.0,250.65,3.0,Deportes,Prefiero no decir,25.4,3.6,True,2022-07-31,Criptomoneda,Madrid,15.0,False,2.0
291,30.0,130.92,7.0,Deportes,Prefiero no decir,10.2,8.6,,2023-11-21,Efectivo,Las Palmas,,False,3.1
557,80.0,43.44,53.0,Mascotas,Femenino,24.5,8.9,True,,Contra reembolso,Palma,9.0,False,4.9
258,54.0,416.53,1.0,Deportes,Masculino,15.7,0.8,True,2023-03-22,Efectivo,,15.0,False,2.2
1199,49.0,415.14,10.0,Juguetes,No binario,40.3,6.5,True,2024-02-01,PayPal,Barcelona,17.0,False,2.6
1199,49.0,415.14,10.0,Juguetes,No binario,40.3,6.5,True,2024-02-01,PayPal,Barcelona,17.0,False,2.6
453,35.0,382.14,3.0,Electrónica,Prefiero no decir,43.6,4.3,True,2022-09-27,Criptomoneda,Murcia,,False,2.7
34,,30.87,8.0,Electrónica,Femenino,23.4,7.2,True,2023-08-08,,,29.0,True,2.1
928,62.0,405.59,7.0,Libros,Prefiero no decir,26.8,1.0,True,2023-11-29,Contra reembolso,Málaga,13.0,False,1.5
537,34.0,109.3,5.0,Jardín,Masculino,,8.4,True,2022-04-16,Contra reembolso,Bilbao,9.0,True,2.0
646,63.0,334.86,10.0,Mascotas,No binario,23.6,1.8,True,2024-04-20,PayPal,Sevilla,14.0,True,4.6
202,26.0,454.06,6.0,Libros,Prefiero no decir,14.5,7.6,False,2023-04-02,PayPal,Madrid,23.0,True,2.9
702,76.0,299.59,8.0,Juguetes,Prefiero no decir,18.8,7.5,,2023-12-16,Tarjeta de crédito,Palma,26.0,False,
1062,78.0,244.1,9.0,Electrónica,Femenino,19.1,6.9,True,2024-02-10,Tarjeta de débito,Zaragoza,13.0,True,3.7
33,24.0,1.14,2.0,Hogar,Masculino,2.5,,False,2023-08-20,Efectivo,Barcelona,71.0,True,3.0
42,19.0,284.84,7.0,Belleza,Femenino,17.9,0.1,False,2023-03-09,Transferencia,Zaragoza,2.0,True,3.3
1195,67.0,259.93,7.0,Ropa,Prefiero no decir,0.7,8.2,True,2024-01-16,Contra reembolso,Málaga,6.0,False,2.0
